,Date,無風險利率,市場風險溢酬,債券報酬率
154,2014-11,0.02352090264718646,0.025487000000000003,-0.10141380800322956
155,2014-12,0.02352090264718646,0.021686,0.259295710945631
156,2015-01,0.02352090264718646,0.005553000000000001,0.13558859565156486
157,2015-02,0.02352090264718646,0.023067,-0.17426032440380906
158,2015-03,0.02352090264718646,-0.003703,-0.013611226628557195
159,2015-04,0.02352090264718646,0.010048,0.37256483980623706
160,2015-05,0.02352090264718646,-0.012470000000000002,-0.33364355921985944
161,2015-06,0.02352090264718646,-0.037438,0.012310219049351803
162,2015-07,0.02352090264718646,-0.065626,0.3058076536249433
163,2015-08,0.02352090264718646,-0.050619,-0.06350853342145442
164,2015-09,0.02352090264718646,0.018186,-0.030977762659245667
165,2015-10,0.022132214668016778,0.04778400000000001,0.07018435610778759
166,2015-11,0.022132214668016778,-0.025438000000000002,0.34484947348242195
167,2015-12,0.022132214668016778,0.007514,-0.024053695868439463
168,2016-01,0.020917112686243314,-0.017492,0.00970065901124952
169,2016-02,0.020917112686243314,0.035366,0.011368407136782974
170,2016-03,0.019528424707073628,0.037925,0.46858663521524246
171,2016-04,0.019528424707073628,-0.044600999999999995,0.46527146470365227
172,2016-05,0.019528424707073628,0.01721,0.26045741524835253
173,2016-06,0.019528424707073628,0.027578000000000002,0.15346113545720516
174,2016-07,0.01813973672790395,0.051691,0.21427544680544675
175,2016-08,0.01813973672790395,0.01399,0.34473559706569973
176,2016-09,0.01813973672790395,0.013874,-0.07547346740822652
177,2016-10,0.01813973672790395,0.010084,0.2902037633209954
178,2016-11,0.01813973672790395,-0.01761,-0.13054971660558295
179,2016-12,0.01813973672790395,0.0007639999999999999,-0.023854464475103303
180,2017-01,0.01813973672790395,0.022418999999999998,0.24366878261312633
181,2017-02,0.01813973672790395,0.036109,-0.16081988492101562
182,2017-03,0.01813973672790395,0.004507,0.06232939586732888
183,2017-04,0.01813973672790395,0.006379,-0.06264519194553383
184,2017-05,0.01813973672790395,0.018041,0.042319458882511374
185,2017-06,0.01813973672790395,0.041259,-0.3980472893761522
186,2017-07,0.01813973672790395,0.025192000000000003,-0.2201917273512617
187,2017-08,0.01813973672790395,0.022828,-0.034612794105171436
188,2017-09,0.01813973672790395,-0.016463000000000002,0.24719405060170863
189,2017-10,0.01813973672790395,0.040819,0.05651659598743932
190,2017-11,0.01813973672790395,-0.021730999999999997,0.0870779615726384
191,2017-12,0.01813973672790395,0.002244,0.20576484427156738
192,2018-01,0.01813973672790395,0.04184,-0.06572440989804909
193,2018-02,0.01813973672790395,-0.029498000000000003,0.13570095298091991
194,2018-03,0.01813973672790395,0.014221999999999999,-0.0528804015008541
195,2018-04,0.01813973672790395,-0.032941,-0.21259585422360713
196,2018-05,0.01813973672790395,0.025883,0.018892911857535662
197,2018-06,0.01813973672790395,0.0026219999999999998,0.18595124802041663
198,2018-07,0.01813973672790395,0.039876999999999996,0.1452186899598504
199,2018-08,0.01813973672790395,-0.000107,0.08453644366762732
200,2018-09,0.01813973672790395,-0.015184,0.5008716656914118
201,2018-10,0.01813973672790395,-0.119809,0.15808924265157048
202,2018-11,0.01813973672790395,0.015548,0.2560731091380943
203,2018-12,0.01813973672790395,-0.017005,0.47416501332195204
204,2019-01,0.01813973672790395,0.024548999999999998,-0.1375119675225146
205,2019-02,0.01813973672790395,0.04867200000000001,-0.0933020982786411
206,2019-03,0.01813973672790395,0.024049,0.3885442453497167
207,2019-04,0.01813973672790395,0.028716,-0.051615603478189324
208,2019-05,0.01813973672790395,-0.0499,0.09172538647701658
209,2019-06,0.01813973672790395,0.033365,0.27175886561024337
210,2019-07,0.01813973672790395,0.034741,0.24082899725628923
211,2019-08,0.01813973672790395,-0.012384,0.390479242443559
212,2019-09,0.01813973672790395,0.019923,0.34558622827300095
213,2019-10,0.01813973672790395,0.049046000000000006,0.27177214781845904
214,2019-11,0.01813973672790395,0.010027999999999999,-0.0472250408902867
215,2019-12,0.01813973672790395,0.047691,0.22423171405667763
216,2020-01,0.01813973672790395,-0.047992,0.14100769879156191
217,2020-02,0.01813973672790395,-0.019926,-0.1430846104043096
218,2020-03,0.0138000867929987,-0.138474,0.3320191880143028
219,2020-04,0.0138000867929987,0.139047,0.22637449987311967
220,2020-05,0.0138000867929987,0.001954,0.09446266297049455
221,2020-06,0.0138000867929987,0.074548,0.04622051909396596
222,2020-07,0.0138000867929987,0.11088300000000001,-0.12092499575329684
223,2020-08,0.0138000867929987,0.001087,0.12113677067027043
224,2020-09,0.0138000867929987,-0.002192,0.16770486099728585
225,2020-10,0.0138000867929987,0.004194,-0.057346197077280094
226,2020-11,0.0138000867929987,0.097289,0.2878443191792277
227,2020-12,0.0138000867929987,0.075991,-0.10341781108029088
228,2021-01,0.0138000867929987,0.029325999999999998,-0.2810727211683972
229,2021-02,0.0138000867929987,0.056499,0.26663495161133755
230,2021-03,0.0138000867929987,0.028062999999999998,0.016734128994065966
231,2021-04,0.0138000867929987,0.068312,0.06476055660378376
232,2021-05,0.0138000867929987,-0.035685,-0.05844786104679036
233,2021-06,0.0138000867929987,0.048728,-0.1915198666906978
234,2021-07,0.0138000867929987,-0.021326,0.3039549250280855
235,2021-08,0.0138000867929987,0.015172000000000001,-0.032706492382172284
236,2021-09,0.0138000867929987,-0.031845,0.37421271959153835
237,2021-10,0.0138000867929987,0.0047870000000000005,0.22638690780540036
238,2021-11,0.0138000867929987,0.027913,0.03207838121348385
239,2021-12,0.0138000867929987,0.046723999999999995,-0.10146087530541165
