證券代碼,年月,市場風險溢酬,規模溢酬 (3因子),規模溢酬 (5因子),淨值市價比溢酬,益本比溢酬,股利殖利率溢酬,動能因子,短期反轉因子,長期反轉因子,盈利能力因子,投資因子,無風險利率,市場投組,大型投組,小型投組,高淨值市價投組,中淨值市價投組,低淨值市價投組,高益本比投組,低益本比投組,中益本比投組,高股利殖利率投組,中股利殖利率投組,低股利殖利率投組,高動能投組,中動能投組,低動能投組,高短期反轉投組,中短期反轉投組,低短期反轉投組,高長期反轉投組,中長期反轉投組,低長期反轉投組,高盈利能力投組,中盈利能力投組,低盈利能力投組,高投資投組,中投資投組,低投資投組,大型高淨值市價投組,大型中淨值市價投組,大型低淨值市價投組,小型高淨值市價投組,小型中淨值市價投組,小型低淨值市價投組,大型高益本比投組,大型中益本比投組,大型低益本比投組,小型高益本比投組,小型中益本比投組,小型低益本比投組,大型高股利殖利率投組,大型中股利殖利率投組,大型低股利殖利率投組,小型高股利殖利率投組,小型中股利殖利率投組,小型低股利殖利率投組,大型高動能投組,大型中動能投組,大型低動能投組,小型高動能投組,小型中動能投組,小型低動能投組,大型高短期反轉投組,大型中短期反轉投組,大型低短期反轉投組,小型高短期反轉投組,小型中短期反轉投組,小型低短期反轉投組,大型高長期反轉投組,大型中長期反轉投組,大型低長期反轉投組,小型高長期反轉投組,小型中長期反轉投組,小型低長期反轉投組,大型高盈利能力投組,大型中盈利能力投組,大型低盈利能力投組,小型高盈利能力投組,小型中盈利能力投組,小型低盈利能力投組,大型高投資投組,大型中投資投組,大型低投資投組,小型高投資投組,小型中投資投組,小型低投資投組
Z8888 上市＋上櫃(不含金融),200211,1.5924,-0.7672,1.1588,8.3019,-3.3867,-3.3055,-0.7342,-2.7171,4.9133,-1.5126,2.4785,1.85,1.7466,1.6515,3.6867,8.9413,3.0689,0.2243,-0.1199,0.1565,5.2559,-0.4557,0.404,3.8467,-0.5181,0.9977,4.3464,2.4895,2.0422,-1.2267,3.9845,2.6821,11.7156,-1.22,4.8165,1.045,-1.2567,4.0716,1.8928,9.2986,3.1139,0.2247,7.7328,2.3998,0.203,-0.3971,0.1762,5.2381,4.5584,-0.5657,5.6966,-0.5346,0.3427,3.8545,1.2725,2.6705,3.4944,-1.1144,0.9882,4.4036,6.8819,1.2444,2.8323,2.4442,1.9293,-1.6238,3.9459,4.3694,2.5797,3.973,2.42,14.6719,6.8486,6.4708,5.9764,-1.3554,4.8524,0.8446,2.9979,4.1076,3.823,-1.3441,4.068,1.4156,1.9609,4.1639,4.1582
Z8888 上市＋上櫃(不含金融),200212,-6.5389,-0.8603,3.0527,13.7286,7.7371,5.2274,7.9465,-2.1701,0.9448,2.145,2.7279,1.85,-6.3847,-6.6097,-1.7745,4.5865,1.1104,-11.9043,1.8729,-5.1467,-11.0837,0.2726,-5.6223,-9.7572,-0.8623,-3.1297,-13.9428,-6.9412,-5.4329,-7.6731,-8.537,2.6568,-2.6895,-6.1324,-4.2612,-11.4479,-7.5896,-5.6064,-5.6363,5.2442,1.3435,-11.9664,2.3336,-2.3803,-7.9129,2.0277,-5.216,-11.4231,-0.694,-2.6183,-2.7174,0.3546,-5.6599,-9.9382,-1.4891,-4.2384,-1.651,-0.7985,-3.2638,-14.2739,-1.7653,-0.3082,-4.1829,-7.3069,-5.633,-7.8144,-1.1208,-0.3194,-4.9534,-8.5988,2.6832,-3.8392,2.2892,2.2403,-0.5808,-6.2294,-4.4253,-12.1488,-3.258,-0.9909,-1.6287,-7.6423,-5.8281,-6.5733,-5.6897,0.0778,-1.3029
Z8888 上市＋上櫃(不含金融),200301,10.5192,-3.1749,2.3066,34.3539,-1.8444,3.5143,9.2492,-3.3894,34.1907,-17.5022,16.4261,1.55,10.6484,10.2854,17.7082,39.3475,13.0089,5.1252,10.2024,9.1399,10.9453,10.597,7.3566,8.6848,15.8144,9.8407,8.1043,12.5641,12.5745,8.02,8.9313,21.6169,49.4777,4.4925,14.1131,14.8137,5.5003,12.0941,23.9518,39.9749,13.2996,5.1559,37.1407,8.513,3.2519,10.328,9.0456,10.9366,8.0587,12.4886,11.1388,10.6422,7.3578,8.7898,9.6074,7.3124,4.4313,15.0948,9.6647,7.9516,24.9085,12.8806,13.5532,12.1073,12.2692,7.7762,19.0647,17.1051,16.617,8.8844,21.8517,52.0624,18.4958,18.4625,43.6992,4.4902,13.9475,13.5565,4.5595,17.2932,30.4975,5.3504,11.9784,23.6464,10.7318,14.8834,25.288
Z8888 上市＋上櫃(不含金融),200302,-10.1385,2.9706,1.6077,-9.4202,1.7678,0.411,-1.4849,9.0539,-9.5833,4.5372,-5.9787,1.55,-10.0093,-9.9916,-10.2911,-17.6049,-9.6497,-8.864,-9.0915,-8.7483,-11.9242,-8.015,-9.3595,-10.2158,-11.3098,-9.2558,-9.845,-15.1991,-9.8233,-6.861,-9.5859,-14.357,-19.2163,-7.9635,-11.0284,-11.343,-8.4741,-10.0018,-15.477,-18.3745,-9.7618,-8.9186,-14.8439,-7.8396,-5.4595,-9.1115,-8.7544,-12.0407,-8.743,-8.5405,-9.3494,-8.0525,-9.397,-10.3221,-7.1845,-7.9967,-5.7368,-11.2775,-9.2623,-9.8341,-11.7245,-9.1492,-10.1982,-15.1579,-9.9047,-6.9163,-15.441,-7.7308,-5.5749,-9.5943,-14.5251,-20.7583,-8.1529,-11.7357,-16.1554,-8.0076,-11.0501,-11.2327,-6.7019,-10.6225,-12.5512,-8.4948,-10.0052,-16.294,-7.7852,-9.9226,-11.9433
Z8888 上市＋上櫃(不含金融),200303,-2.493,-1.3911,-1.9567,-5.5163,0.4677,-1.0096,-1.7576,-0.8608,-7.9126,5.1886,-3.849,1.55,-2.3638,-2.191,-5.5564,-8.739,-1.4391,-1.9369,-0.474,-1.2277,-1.4092,-2.2862,0.7169,-1.5292,-4.1327,-1.8791,-1.9258,-5.1497,-1.1814,-4.7907,-1.1646,-4.0955,-10.1193,-0.5584,-2.023,-6.5154,-1.993,-1.6546,-7.7607,-8.8025,-1.3229,-1.8959,-8.522,-3.2765,-4.3961,-0.3059,-1.1295,-1.3201,-3.3968,-4.6035,-3.3181,-2.1888,0.8033,-1.4898,-4.4247,-2.3816,-3.1045,-3.7661,-1.8004,-1.8119,-7.5349,-3.3551,-5.9739,-5.1501,-1.0935,-4.5165,-5.1469,-4.3127,-7.5022,-1.1508,-4.0842,-10.0364,-3.332,-4.2592,-10.2716,-0.4594,-1.8501,-6.4012,-3.3485,-5.218,-7.7839,-1.8877,-1.5327,-7.9114,-5.4706,-4.5134,-7.1449
Z8888 上市＋上櫃(不含金融),200304,-4.597,-0.9742,-2.2188,-10.7636,-5.9537,-2.1888,-4.2478,-7.7993,-9.4046,7.6251,-6.0488,1.55,-4.4678,-4.2164,-9.1697,-14.4891,-7.6041,-0.7381,-7.8656,-3.8371,2.7074,-3.9774,-4.0014,0.7628,-8.4829,-5.1585,-0.2072,-1.089,-6.7242,-11.1336,-1.4715,-13.2944,-14.5799,-2.8805,-3.0335,-11.0523,-4.9329,-2.4954,-13.9511,-14.8844,-7.6347,-0.6549,-13.1413,-7.1118,-5.8436,-7.8735,-3.7895,3.1446,-7.724,-5.5241,-6.8348,-3.9381,-3.9254,0.9132,-4.8616,-6.8134,-5.3352,-8.4962,-4.7505,0.0253,-8.2592,-10.4155,-8.2852,-0.8859,-6.6538,-10.9236,-7.2814,-7.8424,-12.8423,-1.4228,-13.2641,-14.4507,-8.9909,-13.7828,-14.7722,-2.734,-2.8349,-10.7592,-7.1319,-6.8221,-14.357,-4.8339,-2.2583,-14.8172,-8.3245,-8.2095,-10.4388
Z8888 上市＋上櫃(不含金融),200305,10.543,-2.5434,-2.8467,2.2943,-3.8382,-6.0936,-1.1028,4.2833,-1.5705,-4.8037,2.8749,1.525,10.6701,10.7466,9.0672,13.8688,8.181,11.8474,5.7817,11.1697,11.9417,3.9521,11.1641,11.9055,8.7157,10.8302,12.8193,10.5607,9.2235,15.5688,11.7829,12.0909,9.6565,7.8875,11.4226,14.7209,11.7575,9.3887,14.2396,14.9406,8.1711,11.8955,10.2912,8.338,8.7477,5.6955,11.203,12.0796,7.3252,9.9664,8.6175,3.8429,11.2372,11.9377,6.4313,8.3771,10.5236,8.6769,10.897,13.0171,9.4475,9.7253,7.313,10.6026,9.3538,15.8519,9.2941,6.8563,12.6115,11.7927,12.1099,10.3228,10.2492,11.7901,8.578,7.9239,11.4759,15.2105,6.7806,10.363,9.1014,11.8658,9.4105,15.3151,7.9189,8.828,10.2195
Z8888 上市＋上櫃(不含金融),200306,8.2531,2.1367,1.8205,0.4403,-3.6716,-0.0449,-11.235,-0.7681,5.6738,-8.3494,0.5198,1.525,8.3802,8.2819,10.3767,9.9926,7.8709,8.4831,3.3587,9.1346,7.7675,8.6956,4.9741,7.7342,6.094,7.0855,15.7648,9.827,7.9652,7.5978,8.5042,6.561,14.8157,6.7012,8.1927,12.3101,10.2514,6.6447,11.0321,9.5857,7.7906,8.4351,11.4034,9.1446,11.6734,3.258,9.1815,7.7591,5.1347,7.4225,7.9767,8.8497,4.9133,7.7636,5.2795,7.3521,6.4553,6.0594,7.0095,15.5417,6.7194,8.9193,19.7071,9.8623,7.8641,7.3337,9.3246,11.4633,10.317,8.4956,6.5108,14.0482,9.9385,7.2913,15.7336,6.7077,8.214,11.8354,6.4995,7.7674,18.0707,10.2078,6.6077,10.6744,11.8542,7.602,12.4273
Z8888 上市＋上櫃(不含金融),200307,12.598,-3.4441,-4.4378,-4.5284,2.8517,-3.4045,-0.9509,-2.3434,-2.3049,4.5715,-5.6816,1.4,12.7147,12.9698,7.764,7.8773,10.5392,14.9358,11.5809,16.3044,10.804,6.0699,14.4467,14.3583,11.2949,12.0603,14.6677,13.0741,14.7352,8.8246,12.7267,10.9782,6.0193,14.1924,11.7482,9.8804,18.3363,9.8747,11.3336,8.2926,10.6549,15.0524,6.3549,8.6607,8.6519,11.6107,16.4459,11.0018,10.8163,12.5071,5.7218,5.7015,14.6724,14.4187,11.6437,8.9973,9.7355,11.3566,12.2684,15.589,9.549,6.6624,7.2183,13.6127,14.9085,8.9854,5.7706,10.6417,5.7111,12.776,11.3394,5.817,4.0956,5.0157,6.4449,14.288,11.9209,10.5035,10.0538,9.2001,4.6952,18.7122,9.9836,11.9486,10.7553,6.8892,6.1557
Z8888 上市＋上櫃(不含金融),200308,5.459,-10.0426,-10.6005,0.1638,-1.5194,-4.0245,2.451,-1.9133,-3.4399,-0.1649,0.4778,1.4,5.5757,6.0708,-4.911,2.2086,5.2223,6.2402,4.9068,3.7695,9.1172,1.5958,3.2899,8.6414,7.3696,1.7565,7.9734,5.4791,7.172,1.019,6.9176,3.6113,-1.3207,7.2861,2.6668,5.816,6.7092,5.0558,4.7538,3.3774,5.953,6.4467,-2.146,-6.662,-5.5428,5.2454,4.1271,9.6414,-3.6961,-6.0359,-5.0533,2.1956,3.6374,8.8204,-6.749,-5.5074,-5.3249,7.6324,2.114,9.1486,-1.809,-4.3435,-8.2272,5.8078,7.7117,1.6866,-5.5251,-4.2039,-5.2304,6.9623,3.8248,-0.7262,-3.4817,-3.3549,-2.6731,7.5638,3.1982,6.9407,-5.0397,-5.3278,-4.0867,7.3117,5.4089,5.7011,-6.1974,-4.869,-3.6313
